id,license,address,city,county,state,structure,structure_type,latitude,longitude
20452,AT&T,37733 West Point Mackenzie Road (126724),Wasilla,MATANUSKA-SUSITNA,AK,43.6,MTOWER,61.28680556,-149.9320556
20453,AT&T,SW 1/4 S27 T22S R11W (101383),Talkeetna,MATANUSKA-SUSITNA,AK,75.9,LTOWER,62.97686111,-149.6378056
20454,AT&T,"NW S14, T11N, R11W (101375)",TYONEK,KENAI PENINSULA,AK,54,LTOWER,61.04633333,-151.1833333
20455,AT&T,MP 40 Alaska Railroad (101387),Moose Pass,KENAI PENINSULA,AK,26.2,LTOWER,60.56122222,-149.14175
20456,AT&T,MILEPOST 45 SEWARD HIGHWAY (101358),Moose Lake,KENAI PENINSULA,AK,15.2,LTOWER,60.63713889,-149.485
20457,AT&T,MP 126.5 RICHARDSON HWY (112127),GAKONA,VALDEZ-CORDOVA,AK,57.9,LTOWER,62.27027778,-145.4099722
20458,AT&T,B Street (94044),Tyonek,KENAI PENINSULA,AK,31.7,LTOWER,61.07025,-151.1416667
20459,AT&T,11 MILES SW OF KASILOF AIR  (93990),Clam Gulch,KENAI PENINSULA,AK,93,LTOWER,60.21413889,-151.4144167
46294,AT&T,KDKWLS-1 Pillar Mountain Road (94024),Kodiak,KODIAK ISLAND,AK,34.1,LTOWER,57.78997222,-152.4266111
24836,AT&T,"Sec 2, T17N, R2E Seward Meridian (110422)",Palmer,MATANUSKA-SUSITNA,AK,45.7,LTOWER,61.58552778,-149.0287222
24835,AT&T,MILEPOST 45 SEWARD HIGHWAY (101358),Moose Lake,KENAI PENINSULA,AK,15.2,LTOWER,60.63713889,-149.485
24834,AT&T,MP 40 Alaska Railroad (101387),Moose Pass,KENAI PENINSULA,AK,26.2,LTOWER,60.56122222,-149.14175
24833,AT&T,MP 51 Alaska Railroad (101389),Moose Pass,KENAI PENINSULA,AK,15.2,LTOWER,60.66383333,-149.0437222
24832,AT&T,22302 West Johnny Parks Drive (110443),WASILLA,MATANUSKA-SUSITNA,AK,121.9,LTOWER,61.43169444,-149.9979444
3202,AT&T,48.3 km SE of Metlakatla   (94067),Hyder,KETCHIKAN GATEWAY,AK,24.4,LTOWER,54.91777778,-130.8422222
3203,AT&T,27.4 KM WNW   (94082),MEYERS CHUCK,PRINCE OF WALES-HYDER,AK,44.5,LTOWER,55.81572222,-132.6852778
3204,AT&T,AB Trail Site  (94085),Anchorage,SKAGWAY-HOONAH-ANGOON,AK,30.5,LTOWER,59.46077778,-135.32875
3205,AT&T,Lindenburg Mtn  (94076),Petersburg,WRANGELL-PETERSBURG,AK,6.7,BTWR,56.74325,-133.0792222
3206,AT&T,"Cemetery Point, Wrangell Radio Group; on Block 62  (94088)",Wrangell,WRANGELL-PETERSBURG,AK,45.7,LTOWER,56.45388889,-132.3841667
3207,AT&T,13.5 MI NW OF SITKA  (94079),SITKA,SITKA,AK,18.3,LTOWER,57.15241667,-135.6453611
3208,AT&T,Cape Spencer Lighthouse  (94059),Gustavus,SKAGWAY-HOONAH-ANGOON,AK,19.5,LTOWER,58.1985,-136.6396389
3209,AT&T,8 KM E OF   (94063),KAKE,WRANGELL-PETERSBURG,AK,23.8,LTOWER,56.98111111,-133.8058333
3210,AT&T,1.5 Mi. N. of Kupreanof   (94077),Sitka,SITKA,AK,22.9,LTOWER,57.11463889,-134.8123056
3211,AT&T,1.6 KM E OF  (94064),GUSTAVUS,SKAGWAY-HOONAH-ANGOON,AK,27.1,LTOWER,58.41897222,-135.7070556
3212,AT&T,MTN TOP NEAR HAINES   (94083),HAINES,HAINES,AK,37.5,LTOWER,59.25077778,-135.4623889
3213,AT&T,11.8 MI SW OF JUNEAU  (94081),HAINES,HAINES,AK,19.2,LTOWER,58.33963889,-135.079
3214,AT&T,1.25 mi NE   (94069),HOONAH,HOONAH-ANGOON,AK,36.6,LTOWER,58.12777778,-135.4325
3215,AT&T,Heinztleman Ridge at R66E  (94066),Juneau,JUNEAU,AK,30.5,GTOWER,58.3695,-134.5539167
3216,AT&T,2715 Tongass Avenue   (94062),Ketchikan,KETCHIKAN GATEWAY,AK,18.3,LTOWER,55.36094444,-131.7960556
46293,AT&T,"SEC32,TS31,SR W OF SEWARD MERIDIAN (100235)",Kodiak,KODIAK ISLAND,AK,32.9,MTOWER,57.4445,-152.3745
46292,AT&T,KDKWLS-1 Pillar Mountain Road (94024),Kodiak,KODIAK ISLAND,AK,34.1,LTOWER,57.78997222,-152.4266111
24831,AT&T,E. Palmer-Wasilla Highway (94028),Palmer,MATANUSKA-SUSITNA,AK,30.4,MTOWER,61.59969444,-149.1879722
24830,AT&T,W. Zero Lake Road (94002),Houston,MATANUSKA-SUSITNA,AK,59.1,LTOWER,61.63977778,-149.8485278
24829,AT&T,0.25 MILES OFF THE END OF KOPPENBERG ROAD (94020),PALMER,MATANUSKA-SUSITNA,AK,31.7,GTOWER,61.62111111,-149.0233333
24828,AT&T,2300 N. MEADOW LAKES DRIVE (94047),PALMER,MATANUSKA-SUSITNA,AK,56.1,LTOWER,61.60530556,-149.6763889
24827,AT&T,MILE 025 ENGSTROM ROAD (94017),PALMER,MATANUSKA-SUSITNA,AK,61.3,LTOWER,61.62,-149.2561111
24826,AT&T,M 92.5 SEWARD (94104),INDIAN,ANCHORAGE,AK,25.9,MTOWER,60.92916667,-149.3524444
24824,AT&T,6651 Highland Road (94146),Eagle River,ANCHORAGE,AK,29.3,LTOWER,61.28138889,-149.4728056
24823,AT&T,5861 KALGIN DRIVE   (112124),ANCHORAGE,ANCHORAGE,AK,28.4,MTOWER,61.10180556,-149.7716111
24822,AT&T,9100 Sand Lake Road (120378),Anchorage,ANCHORAGE,AK,29,MTOWER,61.14452778,-149.9812222
24821,AT&T,Mi. 18 Hope Hwy   (94001),Hope,KENAI PENINSULA,AK,41.2,LTOWER,60.92747222,-149.6599444
24820,AT&T,"Harbor Loop, Block 1, Lot 10 (94050)",Whittier,VALDEZ-CORDOVA,AK,21.6,LTOWER,60.77780556,-148.6949722
46181,AT&T,400 Bering Street  (93968),NOME,NOME,AK,19.2,LTOWER,64.50072222,-165.4102778
3239,AT&T,KILLISNOO RD  (94056),ANGOON,SKAGWAY-HOONAH-ANGOON,AK,39.6,LTOWER,57.50019444,-134.5806389
3238,AT&T,Lot 3A-2 Highlands Resource Subdivision   (94065),Haines,HAINES,AK,25.9,GTOWER,59.22138889,-135.4389444
46180,AT&T,400 Bering Street  (93968),NOME,NOME,AK,19.2,LTOWER,64.50072222,-165.4102778
20479,AT&T,52618 OLE EAST END RD (97847),Homer,KENAI PENINSULA,AK,35,LTOWER,59.74313889,-151.2511389
20478,AT&T,61950 Skyline Drive (94000),Homer,KENAI PENINSULA,AK,29.3,MTOWER,59.67105556,-151.50875
3237,AT&T,BLOCK 62  (94089),WRANGELL,WRANGELL-PETERSBURG,AK,21.3,LTOWER,56.47408333,-132.3797222
3236,AT&T,Port St Nicholas Road  (94086),Craig,PRINCE OF WALES-OUTER KETCHIKAN,AK,6.7,BTWR,55.46336111,-133.0810278
3235,AT&T,2715 Tongass Avenue   (94062),Ketchikan,KETCHIKAN GATEWAY,AK,18.3,LTOWER,55.36094444,-131.7960556
3234,AT&T,Heinztleman Ridge at R66E  (94066),Juneau,JUNEAU,AK,30.5,GTOWER,58.3695,-134.5539167
3233,AT&T,1.25 mi NE   (94069),HOONAH,HOONAH-ANGOON,AK,36.6,LTOWER,58.12777778,-135.4325
3232,AT&T,11.8 MI SW OF JUNEAU  (94081),HAINES,HAINES,AK,19.2,LTOWER,58.33963889,-135.079
3231,AT&T,MTN TOP NEAR HAINES   (94083),HAINES,HAINES,AK,37.5,LTOWER,59.25077778,-135.4623889
3230,AT&T,1.6 KM E OF  (94064),GUSTAVUS,SKAGWAY-HOONAH-ANGOON,AK,27.1,LTOWER,58.41897222,-135.7070556
3229,AT&T,1.5 Mi. N. of Kupreanof   (94077),Sitka,SITKA,AK,22.9,LTOWER,57.11463889,-134.8123056
3228,AT&T,8 KM E OF   (94063),KAKE,WRANGELL-PETERSBURG,AK,23.8,LTOWER,56.98111111,-133.8058333
3227,AT&T,Cape Spencer Lighthouse  (94059),Gustavus,SKAGWAY-HOONAH-ANGOON,AK,19.5,LTOWER,58.1985,-136.6396389
3226,AT&T,13.5 MI NW OF SITKA  (94079),SITKA,SITKA,AK,18.3,LTOWER,57.15241667,-135.6453611
3217,AT&T,Port St Nicholas Road  (94086),Craig,PRINCE OF WALES-OUTER KETCHIKAN,AK,6.7,BTWR,55.46336111,-133.0810278
3218,AT&T,BLOCK 62  (94089),WRANGELL,WRANGELL-PETERSBURG,AK,21.3,LTOWER,56.47408333,-132.3797222
3219,AT&T,Lot 3A-2 Highlands Resource Subdivision   (94065),Haines,HAINES,AK,25.9,GTOWER,59.22138889,-135.4389444
3220,AT&T,KILLISNOO RD  (94056),ANGOON,SKAGWAY-HOONAH-ANGOON,AK,39.6,LTOWER,57.50019444,-134.5806389
3221,AT&T,48.3 km SE of Metlakatla   (94067),Hyder,KETCHIKAN GATEWAY,AK,24.4,LTOWER,54.91777778,-130.8422222
3222,AT&T,27.4 KM WNW   (94082),MEYERS CHUCK,PRINCE OF WALES-HYDER,AK,44.5,LTOWER,55.81572222,-132.6852778
3223,AT&T,AB Trail Site  (94085),Anchorage,SKAGWAY-HOONAH-ANGOON,AK,30.5,LTOWER,59.46077778,-135.32875
3224,AT&T,Lindenburg Mtn  (94076),Petersburg,WRANGELL-PETERSBURG,AK,6.7,BTWR,56.74325,-133.0792222
3225,AT&T,"Cemetery Point, Wrangell Radio Group; on Block 62  (94088)",Wrangell,WRANGELL-PETERSBURG,AK,45.7,LTOWER,56.45388889,-132.3841667
20477,AT&T,MI 12 Hatcher Pass Road  (94051),Willow,MATANUSKA-SUSITNA,AK,31.7,MTOWER,61.7715,-149.7544167
20476,AT&T,MILE POST 8.4 LAKE LOUISE ROAD  (94009),GLENNALLEN,VALDEZ-CORDOVA,AK,59.1,LTOWER,62.16269444,-146.5006389
20475,AT&T,MILE 12 TOK CUTOFF  (93983),GLENNALLEN,VALDEZ-CORDOVA,AK,97.2,LTOWER,62.41225,-145.1090833
20474,AT&T,MILE 025 ENGSTROM ROAD (94017),PALMER,MATANUSKA-SUSITNA,AK,61.3,LTOWER,61.62,-149.2561111
20473,AT&T,JUNEAU CREEK ROAD (93991),Kenai,KENAI PENINSULA,AK,25,LTOWER,60.49377778,-149.8684167
20472,AT&T,MILE MARKER 181 RICHARDSON HIGHWAY  (94023),GLENNALLEN,VALDEZ-CORDOVA,AK,95.1,LTOWER,62.96791667,-145.4696111
20471,AT&T,Mile Post 28.5 Seward Highway (94013),Moose Pass,KENAI PENINSULA,AK,26.8,LTOWER,60.47611111,-149.3688889
20470,AT&T,18 Mi. S of Copper Center  (94052),Glenallen,VALDEZ-CORDOVA,AK,31.1,LTOWER,61.77277778,-145.1983889
20469,AT&T,Mile 85 Glenn Highway  (94029),Sutton,MATANUSKA-SUSITNA,AK,45.7,LTOWER,61.80697222,-148.3344444
20468,AT&T,11.6 miles East of Talkeetna  (93984),Talkeetna,MATANUSKA-SUSITNA,AK,7.6,LTOWER,62.30811111,-149.7544722
20467,AT&T,7 MILES N OF  (94038),ANCHOR POINT,KENAI PENINSULA,AK,98.2,LTOWER,59.881,-151.7862222
20466,AT&T,MILE 118 GLENN HIGHWAY  (94041),Sutton,MATANUSKA-SUSITNA,AK,36.6,LTOWER,61.8325,-147.3275
24853,AT&T,"Sec 2, T17N, R2E Seward Meridian (110422)",Palmer,MATANUSKA-SUSITNA,AK,45.7,LTOWER,61.58552778,-149.0287222
24845,AT&T,2300 N. MEADOW LAKES DRIVE (94047),PALMER,MATANUSKA-SUSITNA,AK,56.1,LTOWER,61.60530556,-149.6763889
24844,AT&T,MILE 025 ENGSTROM ROAD (94017),PALMER,MATANUSKA-SUSITNA,AK,61.3,LTOWER,61.62,-149.2561111
24843,AT&T,M 92.5 SEWARD (94104),INDIAN,ANCHORAGE,AK,25.9,MTOWER,60.92916667,-149.3524444
24841,AT&T,6651 Highland Road (94146),Eagle River,ANCHORAGE,AK,29.3,LTOWER,61.28138889,-149.4728056
24840,AT&T,5861 KALGIN DRIVE   (112124),ANCHORAGE,ANCHORAGE,AK,28.4,MTOWER,61.10180556,-149.7716111
20465,AT&T,MILE 105 GLENN HIGHWAY  (94035),Sutton,MATANUSKA-SUSITNA,AK,48.5,LTOWER,61.78802778,-147.6743333
20416,AT&T,5 miles N Kenai Spur Road MP 24  (94018),KENAI,KENAI PENINSULA,AK,25.9,GTOWER,60.71969444,-151.3663889
20415,AT&T,11 MILES SW OF KASILOF AIR  (93990),Clam Gulch,KENAI PENINSULA,AK,93,LTOWER,60.21413889,-151.4144167
419,AT&T,1362 Alaska Hwy,Dot Lake,SOUTHEAST FAIRBANKS,AK,90.8,LTOWER,63.64863889,-144.0658889
418,AT&T,"Mile 2.5, Pedro Dome Rd.",FAIRBANKS,FAIRBANKS NORTH STAR,AK,31.1,LTOWER,65.03425,-147.5026667
417,AT&T,SALONO AVENUE AND FIRST STREET (TOK JUNCTION)   (93976),TOK,SOUTHEAST FAIRBANKS,AK,60.4,LTOWER,63.33805556,-142.9847222
416,AT&T,MILEPOST 238 PARKS HWY   (93954),HEALY,DENALI,AK,16.7,BTWR,63.74277778,-148.8877222
415,AT&T,4468 N. Nistler Road,Delta Junction,SOUTHEAST FAIRBANKS,AK,56.7,LTOWER,64.03883333,-145.5987778
414,AT&T,MILE POST 1339.6 ALASKA HIGHWAY   (119031),TANACROSS,SOUTHEAST FAIRBANKS,AK,69.5,LTOWER,63.38472222,-143.7961111
413,AT&T,MILE 1 FERRY RD  (118753),HEALY,DENALI,AK,58.5,LTOWER,64.01083333,-149.122
412,AT&T,MILE MARKER 229.5 PARKS HIGHWAY   (93966),DENALI NATIONAL PARK,DENALI,AK,31.4,GTOWER,63.64316667,-148.7856389
411,AT&T,1474 STIREWALT ST,DELTA JUNCTION,SOUTHEAST FAIRBANKS,AK,96,LTOWER,64.03744444,-145.7296389
410,AT&T,MILE MARKER 301 RICHARDSON HIGHWAY,SALCHA,FAIRBANKS NORTH STAR,AK,55.2,LTOWER,64.30288889,-146.5509444
409,AT&T,17 mile Chena Hot Springs Road,Fairbanks,FAIRBANKS NORTH STAR,AK,41.2,LTOWER,64.87075,-147.0999444
408,AT&T,Nenana Cell Site,Nenana,YUKON-KOYUKUK,AK,42.7,LTOWER,64.57727778,-149.0806111
407,AT&T,MP 202.2 Richardson HWY,DELTA JUNCTION,SOUTHEAST FAIRBANKS,AK,47.2,LTOWER,63.23819444,-145.6485278
406,AT&T,.8 KM NE OF   (93948),CANTWELL,DENALI,AK,21.6,GTOWER,63.40055556,-148.94
405,AT&T,MP 249 Richardson Hwy,DELTA JUNCTION,SOUTHEAST FAIRBANKS,AK,71.9,LTOWER,63.78725,-145.8632778
404,AT&T,NSN Orchid Drive,SALCHA,FAIRBANKS NORTH STAR,AK,83.5,LTOWER,64.40952778,-146.9558611
403,AT&T,MP246 Parks Hwy   (93962),Healy,DENALI,AK,61.9,GTOWER,63.83722222,-148.9802778
402,AT&T,MP275 PARKS HWY   (115228),Healy,DENALI,AK,58.5,LTOWER,64.21269444,-149.3114167
401,AT&T,4012 Ester Dome Rd.   (93958),FAIRBANKS,FAIRBANKS NORTH STAR,AK,22.9,LTOWER,64.87913889,-148.0550556
400,AT&T,1362 Alaska Hwy,Dot Lake,SOUTHEAST FAIRBANKS,AK,90.8,LTOWER,63.64863889,-144.0658889
399,AT&T,"Mile 2.5, Pedro Dome Rd.",FAIRBANKS,FAIRBANKS NORTH STAR,AK,31.1,LTOWER,65.03425,-147.5026667
398,AT&T,SALONO AVENUE AND FIRST STREET (TOK JUNCTION)   (93976),TOK,SOUTHEAST FAIRBANKS,AK,60.4,LTOWER,63.33805556,-142.9847222
397,AT&T,MILEPOST 238 PARKS HWY   (93954),HEALY,DENALI,AK,16.7,BTWR,63.74277778,-148.8877222
396,AT&T,4468 N. Nistler Road,Delta Junction,SOUTHEAST FAIRBANKS,AK,56.7,LTOWER,64.03883333,-145.5987778
395,AT&T,MILE POST 1339.6 ALASKA HIGHWAY   (119031),TANACROSS,SOUTHEAST FAIRBANKS,AK,69.5,LTOWER,63.38472222,-143.7961111
394,AT&T,MILE 1 FERRY RD  (118753),HEALY,DENALI,AK,58.5,LTOWER,64.01083333,-149.122
393,AT&T,MILE MARKER 229.5 PARKS HIGHWAY   (93966),DENALI NATIONAL PARK,DENALI,AK,31.4,GTOWER,63.64316667,-148.7856389
392,AT&T,1474 STIREWALT ST,DELTA JUNCTION,SOUTHEAST FAIRBANKS,AK,96,LTOWER,64.03744444,-145.7296389
24839,AT&T,9100 Sand Lake Road (120378),Anchorage,ANCHORAGE,AK,29,MTOWER,61.14452778,-149.9812222
24838,AT&T,Mi. 18 Hope Hwy   (94001),Hope,KENAI PENINSULA,AK,41.2,LTOWER,60.92747222,-149.6599444
391,AT&T,MILE MARKER 301 RICHARDSON HIGHWAY,SALCHA,FAIRBANKS NORTH STAR,AK,55.2,LTOWER,64.30288889,-146.5509444
24837,AT&T,"Harbor Loop, Block 1, Lot 10 (94050)",Whittier,VALDEZ-CORDOVA,AK,21.6,LTOWER,60.77780556,-148.6949722
24852,AT&T,MILEPOST 45 SEWARD HIGHWAY (101358),Moose Lake,KENAI PENINSULA,AK,15.2,LTOWER,60.63713889,-149.485
20502,AT&T,B Street (94044),Tyonek,KENAI PENINSULA,AK,31.7,LTOWER,61.07025,-151.1416667
20501,AT&T,MP 126.5 RICHARDSON HWY (112127),GAKONA,VALDEZ-CORDOVA,AK,57.9,LTOWER,62.27027778,-145.4099722
20500,AT&T,MILEPOST 45 SEWARD HIGHWAY (101358),Moose Lake,KENAI PENINSULA,AK,15.2,LTOWER,60.63713889,-149.485
20499,AT&T,MP 40 Alaska Railroad (101387),Moose Pass,KENAI PENINSULA,AK,26.2,LTOWER,60.56122222,-149.14175
20498,AT&T,"NW S14, T11N, R11W (101375)",TYONEK,KENAI PENINSULA,AK,54,LTOWER,61.04633333,-151.1833333
20497,AT&T,SW 1/4 S27 T22S R11W (101383),Talkeetna,MATANUSKA-SUSITNA,AK,75.9,LTOWER,62.97686111,-149.6378056
24851,AT&T,MP 40 Alaska Railroad (101387),Moose Pass,KENAI PENINSULA,AK,26.2,LTOWER,60.56122222,-149.14175
46295,AT&T,"SEC32,TS31,SR W OF SEWARD MERIDIAN (100235)",Kodiak,KODIAK ISLAND,AK,32.9,MTOWER,57.4445,-152.3745
24850,AT&T,MP 51 Alaska Railroad (101389),Moose Pass,KENAI PENINSULA,AK,15.2,LTOWER,60.66383333,-149.0437222
24849,AT&T,22302 West Johnny Parks Drive (110443),WASILLA,MATANUSKA-SUSITNA,AK,121.9,LTOWER,61.43169444,-149.9979444
24848,AT&T,E. Palmer-Wasilla Highway (94028),Palmer,MATANUSKA-SUSITNA,AK,30.4,MTOWER,61.59969444,-149.1879722
24847,AT&T,W. Zero Lake Road (94002),Houston,MATANUSKA-SUSITNA,AK,59.1,LTOWER,61.63977778,-149.8485278
24846,AT&T,0.25 MILES OFF THE END OF KOPPENBERG ROAD (94020),PALMER,MATANUSKA-SUSITNA,AK,31.7,GTOWER,61.62111111,-149.0233333
390,AT&T,17 mile Chena Hot Springs Road,Fairbanks,FAIRBANKS NORTH STAR,AK,41.2,LTOWER,64.87075,-147.0999444
389,AT&T,Nenana Cell Site,Nenana,YUKON-KOYUKUK,AK,42.7,LTOWER,64.57727778,-149.0806111
388,AT&T,MP 202.2 Richardson HWY,DELTA JUNCTION,SOUTHEAST FAIRBANKS,AK,47.2,LTOWER,63.23819444,-145.6485278
387,AT&T,.8 KM NE OF   (93948),CANTWELL,DENALI,AK,21.6,GTOWER,63.40055556,-148.94
386,AT&T,MP 249 Richardson Hwy,DELTA JUNCTION,SOUTHEAST FAIRBANKS,AK,71.9,LTOWER,63.78725,-145.8632778
385,AT&T,NSN Orchid Drive,SALCHA,FAIRBANKS NORTH STAR,AK,83.5,LTOWER,64.40952778,-146.9558611
384,AT&T,MP246 Parks Hwy   (93962),Healy,DENALI,AK,61.9,GTOWER,63.83722222,-148.9802778
383,AT&T,MP275 PARKS HWY   (115228),Healy,DENALI,AK,58.5,LTOWER,64.21269444,-149.3114167
382,AT&T,4012 Ester Dome Rd.   (93958),FAIRBANKS,FAIRBANKS NORTH STAR,AK,22.9,LTOWER,64.87913889,-148.0550556
20417,AT&T,"Lot 1, Block 6, 4th of July Creek (94033)",Seward,KENAI PENINSULA,AK,60.7,LTOWER,60.08338889,-149.3447222
20418,AT&T,6 MILES E OF STERLING HIGHWAY ON JOHNS ROAD  (94015),NAPTOWNE,KENAI PENINSULA,AK,80.8,LTOWER,60.52944444,-150.5833333
20420,AT&T,Mi. 165 Glenn Highway  (94042),Glenallen,VALDEZ-CORDOVA,AK,48.8,GTOWER,62.10813889,-146.1755278
20421,AT&T,MILE 105 GLENN HIGHWAY  (94035),Sutton,MATANUSKA-SUSITNA,AK,48.5,LTOWER,61.78802778,-147.6743333
20496,AT&T,37733 West Point Mackenzie Road (126724),Wasilla,MATANUSKA-SUSITNA,AK,43.6,MTOWER,61.28680556,-149.9320556
20495,AT&T,"Bear Valley Road, 4.8 miles N of Seward (94040)",Seward,KENAI PENINSULA,AK,53.6,MTOWER,60.18211111,-149.3736111
20494,AT&T,1 MILE SOUTH OF DAYVILLE ROAD (94046),VALDEZ,VALDEZ-CORDOVA,AK,30.8,MTOWER,61.07213889,-146.2020278
20493,AT&T,5432 Kenai Spur Rd (112129),Kenai,KENAI PENINSULA,AK,37.5,MTOWER,60.74183333,-151.2198611
20492,AT&T,16725 E Maud Rd (110422),Palmer,MATANUSKA-SUSITNA,AK,45.7,LTOWER,61.58552778,-149.0287222
20422,AT&T,MILE 118 GLENN HIGHWAY  (94041),Sutton,MATANUSKA-SUSITNA,AK,36.6,LTOWER,61.8325,-147.3275
20423,AT&T,7 MILES N OF  (94038),ANCHOR POINT,KENAI PENINSULA,AK,98.2,LTOWER,59.881,-151.7862222
20424,AT&T,11.6 miles East of Talkeetna  (93984),Talkeetna,MATANUSKA-SUSITNA,AK,7.6,LTOWER,62.30811111,-149.7544722
20425,AT&T,Mile 85 Glenn Highway  (94029),Sutton,MATANUSKA-SUSITNA,AK,45.7,LTOWER,61.80697222,-148.3344444
20426,AT&T,18 Mi. S of Copper Center  (94052),Glenallen,VALDEZ-CORDOVA,AK,31.1,LTOWER,61.77277778,-145.1983889
20427,AT&T,Mile Post 28.5 Seward Highway (94013),Moose Pass,KENAI PENINSULA,AK,26.8,LTOWER,60.47611111,-149.3688889
20428,AT&T,MILE MARKER 181 RICHARDSON HIGHWAY  (94023),GLENNALLEN,VALDEZ-CORDOVA,AK,95.1,LTOWER,62.96791667,-145.4696111
20429,AT&T,JUNEAU CREEK ROAD (93991),Kenai,KENAI PENINSULA,AK,25,LTOWER,60.49377778,-149.8684167
20430,AT&T,MILE 025 ENGSTROM ROAD (94017),PALMER,MATANUSKA-SUSITNA,AK,61.3,LTOWER,61.62,-149.2561111
20431,AT&T,MILE 12 TOK CUTOFF  (93983),GLENNALLEN,VALDEZ-CORDOVA,AK,97.2,LTOWER,62.41225,-145.1090833
20432,AT&T,MILE POST 8.4 LAKE LOUISE ROAD  (94009),GLENNALLEN,VALDEZ-CORDOVA,AK,59.1,LTOWER,62.16269444,-146.5006389
20433,AT&T,MI 12 Hatcher Pass Road  (94051),Willow,MATANUSKA-SUSITNA,AK,31.7,MTOWER,61.7715,-149.7544167
20434,AT&T,61950 Skyline Drive (94000),Homer,KENAI PENINSULA,AK,29.3,MTOWER,59.67105556,-151.50875
20435,AT&T,52618 OLE EAST END RD (97847),Homer,KENAI PENINSULA,AK,35,LTOWER,59.74313889,-151.2511389
20436,AT&T,3413 Levan Avenue (93997),Wasilla,MATANUSKA-SUSITNA,AK,35.1,MTOWER,61.55252778,-149.5355556
